time,modulu
3e-11,86960180.0
3.6e-11,85289080.0
4.32e-11,83363040.0
5.184e-11,81159950.0
6.2208e-11,78662310.0
7.46496e-11,75860000.0
8.957952e-11,72753460.0
1.074954e-10,69356850.0
1.289945e-10,65700830.0
1.547934e-10,61833870.0
1.857521e-10,57821540.0
2.229025e-10,53742840.0
2.67483e-10,49683410.0
3.209796e-10,45726490.0
3.851755e-10,41943300.0
4.622106e-10,38385520.0
5.546528e-10,35082130.0
6.655833e-10,32040100.0
7.987e-10,29251030.0
9.5844e-10,26705100.0
1.150128e-09,24381160.0
1.380154e-09,22259900.0
1.656184e-09,20323710.0
1.987421e-09,18556530.0
2.384905e-09,16943680.0
2.861886e-09,15471820.0
3.434264e-09,14128760.0
4.121117e-09,12903380.0
4.94534e-09,11785570.0
5.934408e-09,10766130.0
7.121289e-09,9836688.0
8.545547e-09,8989630.0
1.025466e-08,8218052.0
1.230559e-08,7515706.0
1.476671e-08,6876935.0
1.772005e-08,6296639.0
2.126406e-08,5770233.0
2.551687e-08,5293602.0
3.062024e-08,4863069.0
3.674429e-08,4475351.0
4.409315e-08,4127528.0
5.291178e-08,3816994.0
6.349413e-08,3541411.0
7.619296e-08,3298651.0
9.143155e-08,3086729.0
1.097179e-07,2903733.0
1.316614e-07,2747727.0
1.579937e-07,2616674.0
1.895925e-07,2508345.0
2.27511e-07,2420267.0
2.730131e-07,2349706.0
3.276158e-07,2293707.0
3.931389e-07,2249222.0
4.717667e-07,2213292.0
5.661201e-07,2183276.0
6.793441e-07,2157058.0
8.152129e-07,2133164.0
9.782555e-07,2110756.0
1.173907e-06,2089493.0
1.408688e-06,2069327.0
1.690425e-06,2050316.0
2.028511e-06,2032500.0
2.434213e-06,2015863.0
2.921055e-06,2000339.0
3.505266e-06,1985836.0
4.206319e-06,1972257.0
5.047583e-06,1959509.0
6.0571e-06,1947505.0
7.26852e-06,1936165.0
8.722224e-06,1925415.0
1.046667e-05,1915189.0
1.256e-05,1905422.0
1.5072e-05,1896057.0
1.80864e-05,1887042.0
2.170368e-05,1878327.0
2.604442e-05,1869865.0
3.125331e-05,1861615.0
3.750397e-05,1853537.0
4.500476e-05,1845594.0
5.400571e-05,1837751.0
6.480685e-05,1829976.0
7.776822e-05,1822238.0
9.332187e-05,1814510.0
0.0001119862,1806762.0
0.0001343835,1783130.0
0.0001612602,1777019.0
0.0001935122,1770660.0
0.0002322147,1764044.0
0.0002786576,1757160.0
0.0003343891,1749997.0
0.000401267,1742545.0
0.0004815203,1734793.0
0.0005778244,1726729.0
0.0006933893,1718343.0
0.0008320672,1709622.0
