frecuency,elastic_modulu,viscous_modulu
300.0,1585566.0,121730.6
250.0,1571134.0,124719.3
208.3333,1556266.0,127646.5
173.6111,1540972.0,130477.2
144.6759,1525268.0,133177.0
120.5633,1509175.0,135713.0
100.4694,1492722.0,138054.1
83.72449,1475776.0,139018.2
69.77041,1458744.0,141066.8
58.14201,1441451.0,142821.0
48.45167,1423944.0,144268.0
40.3764,1406271.0,145399.4
33.647,1388480.0,146211.5
28.03916,1370620.0,146705.1
23.36597,1352737.0,146885.4
19.47164,1334879.0,146761.6
16.22637,1317088.0,146346.3
13.52197,1299406.0,145655.6
11.26831,1281869.0,144708.0
9.390259,1264512.0,143524.3
7.825216,1247365.0,142126.8
6.521013,1230454.0,140539.1
5.434178,1213801.0,138785.2
4.528481,1197423.0,136889.4
3.773735,1181335.0,134875.6
3.144779,1165547.0,132766.7
2.620649,1150066.0,130584.6
2.183874,1134895.0,128349.6
1.819895,1120034.0,126080.3
1.516579,1105483.0,123793.5
1.263816,1091238.0,121504.2
1.05318,1077293.0,119225.6
0.87765,1063642.0,116969.2
0.731375,1050278.0,114744.7
0.6094792,1037192.0,112560.0
0.5078993,1024375.0,110421.6
0.4232494,1011817.0,108334.6
0.3527079,999508.6,106302.6
0.2939232,987440.8,104328.2
0.244936,975604.1,102413.0
0.2041134,963989.3,100558.0
0.1700945,952587.7,98763.27
0.1417454,941390.8,97028.57
0.1181212,930390.5,95353.25
0.09843429,919579.0,93736.34
0.08202858,908948.7,92176.63
0.06835715,898492.2,90672.69
0.05696429,888202.7,89222.84
0.04747024,878073.5,87825.23
0.03955853,868098.1,86477.83
0.03296545,858270.7,85178.52
0.0274712,848585.5,83925.15
0.02289267,839037.4,82715.54
0.01907723,829621.4,81547.52
0.01589769,820332.8,80418.96
0.01324807,811167.3,79327.74
0.01104006,802120.9,78271.84
0.009200051,793189.6,77249.28
0.007666709,784370.1,76258.14
0.006388924,775658.9,75296.58
0.005324104,767053.2,74362.86
0.004436753,758550.2,73455.4
0.003697294,750147.3,72572.75
0.003081078,741842.3,71713.67
0.002567565,733632.9,70877.08
