Angular Frequency,Storage Modulus,Loss Modulus
0.0009762156,0.0004578418,3.44878
0.001073837,0.0005539881,3.793658
0.001181221,0.0006703249,4.173023
0.001299343,0.0008110921,4.590325
0.001429277,0.0009814199,5.049357
0.001572205,0.001187516,5.554293
0.001729426,0.001436891,6.109721
0.001902368,0.001738633,6.720693
0.002092605,0.002103739,7.392761
0.002301865,0.002545514,8.132035
0.002532052,0.003080057,8.945237
0.002785257,0.003726847,9.839758
0.003063783,0.004509452,10.82373
0.003370161,0.00545639,11.9061
0.003707177,0.006602162,13.0967
0.004077895,0.007988515,14.40636
0.004485684,0.009665954,15.84699
0.004934253,0.01169559,17.43167
0.005427678,0.01415134,19.17482
0.005970446,0.01712266,21.09227
0.00656749,0.02071773,23.20147
0.00722424,0.02506745,25.52156
0.007946663,0.03033015,28.07366
0.00874133,0.03669734,30.88094
0.009615463,0.04440065,33.96892
0.01057701,0.0537202,37.36566
0.01163471,0.06499472,41.10203
0.01279818,0.07863379,45.21197
0.014078,0.09513251,49.73282
0.0154858,0.1150893,54.70563
0.01703438,0.1392273,60.17557
0.01873782,0.1684201,66.19231
0.0206116,0.2037226,72.81044
0.02267276,0.2464083,80.09003
0.02494003,0.2980137,88.09709
0.02743404,0.3603917,96.90423
0.03017744,0.4357752,106.5912
0.03319519,0.5268522,117.2458
0.0365147,0.6368563,128.9644
0.04016617,0.7696723,141.8529
0.04418279,0.9299606,156.0277
0.04860107,1.123303,171.6166
0.05346118,1.356373,188.7599
0.0588073,1.637129,207.6117
0.06468803,1.975038,228.3411
0.07115683,2.381329,251.1336
0.07827251,2.869277,276.1924
0.08609976,3.454514,303.7406
0.09470974,4.155378,334.0223
0.1041807,4.993289,367.3052
0.1145988,5.993164,403.8822
0.1260587,7.183872,444.0738
0.1386645,8.59875,488.2313
0.152531,10.27619,536.7387
0.1677841,12.26038,590.0165
0.1845625,14.60214,648.5253
0.2030187,17.36011,712.7689
0.2233206,20.60212,783.2994
0.2456527,24.40698,860.7209
0.2702179,28.86666,945.6946
0.2972397,34.0888,1038.943
0.3269637,40.19971,1141.257
0.3596601,47.34757,1253.497
0.3956261,55.70593,1376.603
0.4351887,65.47749,1511.595
0.4787076,76.89803,1659.581
0.5265783,90.24054,1821.766
0.5792361,105.8196,1999.452
0.6371598,123.9965,2194.047
0.7008757,145.1843,2407.077
0.7709633,169.8544,2640.188
0.8480596,198.5438,2895.157
0.9328656,231.8642,3173.9
1.026152,270.5116,3478.48
1.128767,315.2786,3811.115
1.241644,367.0667,4174.184
1.365809,426.8994,4570.229
1.502389,495.9345,5001.959
1.652628,575.4746,5472.251
1.817891,666.9757,5984.146
1.99968,772.0522,6540.856
2.199648,892.4797,7145.76
2.419613,1030.196,7802.417
2.661574,1187.301,8514.573
2.927732,1366.057,9286.179
3.220505,1568.899,10121.41
3.542556,1798.44,11024.71
3.896811,2057.493,12000.79
4.286492,2349.102,13054.68
4.715141,2676.572,14191.74
5.186656,3043.519,15417.69
5.705321,3453.914,16738.61
6.275853,3912.141,18160.97
6.903439,4423.043,19691.57
7.593782,4991.977,21337.58
8.353161,5624.853,23106.46
9.188477,6328.17,25005.98
10.10732,7109.05,27044.16
11.11806,7975.249,29229.25
12.22986,8935.182,31569.71
13.45285,9997.937,34074.2
14.79813,11173.3,36751.57
16.27795,12471.77,39610.85
17.90574,13904.65,42661.28
19.69632,15484.09,45912.29
21.66595,17223.17,49373.48
23.83254,19136.05,53054.58
26.2158,21238.09,56965.39
28.83738,23545.94,61115.62
31.72111,26077.72,65514.74
34.89323,28853.05,70171.78
38.38255,31893.14,75095.06
42.2208,35220.8,80291.94
46.44288,38860.36,85768.57
51.08717,42837.64,91529.54
56.19589,47179.8,97577.68
61.81548,51915.16,103913.7
67.99702,57073.03,110536.2
74.79673,62683.5,117440.9
82.2764,68777.16,124621.1
90.50404,75384.86,132067.0
99.55444,82537.44,139765.5
109.5099,90265.36,147700.4
120.4609,98598.34,155851.4
132.507,107564.8,164194.8
145.7577,117191.5,172702.6
160.3334,127502.4,181342.6
176.3668,138518.2,190078.8
194.0034,150255.3,198871.4
213.4038,162725.1,207677.2
234.7442,175933.1,216451.1
258.2186,189878.5,225146.1
284.0404,204554.1,233715.3
312.4445,219945.9,242112.9
343.6889,236034.3,250294.8
378.0578,252794.0,258220.4
415.8636,270195.9,265852.4
457.45,288207.2,273157.6
503.195,306793.0,280106.5
553.5145,325916.5,286673.1
608.8659,345539.7,292834.3
669.7525,365623.5,298569.8
736.7278,386127.6,303861.6
810.4005,407010.1,308693.7
891.4406,428227.8,313052.8
980.5847,449735.3,316928.4
1078.643,471486.0,320313.6
1186.507,493432.0,323205.1
1305.158,515525.1,325604.6
1435.674,537717.6,327518.0
1579.241,560037.9,332011.5
1737.166,582308.1,333293.3
1910.882,604549.6,334163.1
2101.97,626725.9,334644.6
2312.167,648804.2,334764.0
2543.384,670755.4,334549.0
2797.722,692554.5,334027.7
3077.495,714179.4,333228.8
3385.244,735611.4,332181.3
3723.769,756834.6,330914.0
4096.145,777835.8,329455.7
4505.76,798604.4,327835.1
4956.336,819133.0,326080.7
5451.97,839416.4,324220.3
5997.167,859452.7,322281.2
6596.883,879242.0,320289.2
7256.572,898787.3,318269.2
7982.229,918093.2,316244.3
8780.452,937166.4,314235.8
9658.497,956014.8,312263.4
10624.35,974647.4,310345.0
11686.78,993073.7,308496.9
12855.46,1011304.0,306733.6
14141.01,1029349.0,305068.7
15555.11,1047218.0,303514.2
17110.62,1064922.0,302081.4
18821.68,1082470.0,300780.9
20703.85,1099873.0,299622.8
22774.23,1117138.0,298617.1
25051.65,1134275.0,297773.9
27556.82,1151291.0,297103.4
30312.5,1168195.0,296616.6
33343.75,1184994.0,296325.0
36678.13,1201696.0,296240.9
40345.94,1218308.0,296377.9
44380.53,1234837.0,296750.6
48818.59,1251292.0,297375.2
53700.44,1267680.0,298269.0
59070.49,1284010.0,299451.2
64977.54,1300291.0,300942.1
71475.29,1316534.0,302763.7
78622.82,1332749.0,304939.2
86485.1,1348948.0,307493.7
95133.61,1365142.0,310453.7
104647.0,1381345.0,313847.6
115111.7,1397570.0,317706.1
126622.8,1413829.0,322061.9
