Time,Relaxation Modulus
3e-11,86667040.0
3.6e-11,84998660.0
4.32e-11,83076210.0
5.184e-11,80877830.0
6.2208e-11,78386270.0
7.46496e-11,75591690.0
8.957952e-11,72494790.0
1.074954e-10,69110040.0
1.289945e-10,65468240.0
1.547934e-10,61617990.0
1.857521e-10,57624780.0
2.229025e-10,53567360.0
2.67483e-10,49530890.0
3.209796e-10,45597940.0
3.851755e-10,41838930.0
4.622106e-10,38304750.0
5.546528e-10,35023680.0
6.655833e-10,32002500.0
7.987e-10,29232290.0
9.5844e-10,26702910.0
1.150128e-09,24393760.0
1.380154e-09,22285220.0
1.656184e-09,20360120.0
1.987421e-09,18602520.0
2.384905e-09,16997740.0
2.861886e-09,15532380.0
3.434264e-09,14194620.0
4.121117e-09,12973140.0
4.94534e-09,11857920.0
5.934408e-09,10839840.0
7.121289e-09,9910484.0
8.545547e-09,9062180.0
1.025466e-08,8288202.0
1.230559e-08,7582046.0
1.476671e-08,6938088.0
1.772005e-08,6351145.0
2.126406e-08,5816493.0
2.551687e-08,5330044.0
3.062024e-08,4887890.0
3.674429e-08,4486647.0
4.409315e-08,4123277.0
5.291178e-08,3795008.0
6.349413e-08,3499501.0
7.619296e-08,3234525.0
9.143155e-08,2998130.0
1.097179e-07,2788501.0
1.316614e-07,2603981.0
1.579937e-07,2442851.0
1.895925e-07,2303501.0
2.27511e-07,2184127.0
2.730131e-07,2082793.0
3.276158e-07,1997381.0
3.931389e-07,1925583.0
4.717667e-07,1864973.0
5.661201e-07,1813123.0
6.793441e-07,1767754.0
8.152129e-07,1726890.0
9.782555e-07,1688967.0
1.173907e-06,1652870.0
1.408688e-06,1617898.0
1.690425e-06,1583672.0
2.028511e-06,1550011.0
2.434213e-06,1516835.0
2.921055e-06,1484090.0
3.505266e-06,1451719.0
4.206319e-06,1419656.0
5.047583e-06,1387827.0
6.0571e-06,1356152.0
7.26852e-06,1324553.0
8.722224e-06,1292951.0
1.046667e-05,1261268.0
1.256e-05,1229434.0
1.5072e-05,1197384.0
1.80864e-05,1165060.0
2.170368e-05,1132411.0
2.604442e-05,1099390.0
3.125331e-05,1065958.0
3.750397e-05,1025091.0
4.500476e-05,992520.4
5.400571e-05,959089.4
6.480685e-05,924822.1
7.776822e-05,889749.5
9.332187e-05,853909.7
0.0001119862,817347.9
0.0001343835,780117.4
0.0001612602,742281.2
0.0001935122,703913.9
0.0002322147,665105.5
0.0002786576,625964.5
0.0003343891,586621.6
0.000401267,547231.8
0.0004815203,507974.3
0.0005778244,469050.5
0.0006933893,430680.5
0.0008320672,393097.1
0.0009984806,356540.6
0.001198177,321251.7
0.001437812,287464.4
0.001725374,255397.7
0.002070449,225246.3
0.002484539,197171.2
0.002981447,171291.7
0.003577736,147681.4
0.004293284,126369.5
0.005151941,107343.9
0.006182329,90554.3
0.007418794,75912.55
0.008902553,63291.97
0.01068306,52529.7
0.01281968,43434.68
0.01538361,35801.25
0.01846033,29425.23
0.0221524,24117.13
0.02658288,19709.55
0.03189946,16058.36
0.03827935,13040.49
0.04593522,10550.89
