frecuency,elastic_modulu,viscous_modulu
300.0,1347197.0,182274.0
250.0,1325047.0,184803.8
208.3333,1302534.0,187000.3
173.6111,1279592.0,187481.7
144.6759,1256558.0,189142.6
120.5633,1233334.0,190364.3
100.4694,1209987.0,191141.6
83.72449,1186584.0,191475.6
69.77041,1163193.0,191373.4
58.14201,1139877.0,190847.8
48.45167,1116698.0,189917.0
40.3764,1093713.0,188603.8
33.647,1070974.0,186935.1
28.03916,1048530.0,184941.1
23.36597,1026422.0,182654.6
19.47164,1004686.0,180109.9
16.22637,983351.7,177342.4
13.52197,962442.5,174387.7
11.26831,941976.7,171280.5
9.390259,921966.4,168054.5
7.825216,902418.7,164741.5
6.521013,883336.0,161371.3
5.434178,864716.4,157970.4
4.528481,846554.6,154562.9
3.773735,828842.3,151169.4
3.144779,811569.1,147807.3
2.620649,794722.9,144491.1
2.183874,778290.9,141232.4
1.819895,762259.5,138040.4
1.516579,746615.2,134922.2
1.263816,731343.9,131883.2
1.05318,716432.2,128927.1
0.87765,701866.3,126056.3
0.731375,687633.1,123271.9
0.6094792,673719.9,120574.0
0.5078993,660114.6,117961.9
0.4232494,646805.9,115434.2
0.3527079,633783.3,112989.0
0.2939232,621037.4,110624.8
0.244936,608559.2,108340.1
0.2041134,596340.2,106134.2
0.1700945,584372.1,104006.7
0.1417454,572646.3,101958.3
0.1181212,561153.6,99989.77
0.09843429,549883.8,98102.13
0.08202858,538825.7,96295.99
0.06835715,527967.4,94570.94
0.05696429,517296.0,92925.09
0.04747024,506798.8,91354.53
0.03955853,496463.8,89852.9
0.03296545,486281.2,88411.41
0.0274712,476244.8,87019.55
0.02289267,466353.1,85666.92
0.01907723,456609.9,84345.97
0.01589769,447021.7,83054.69
0.01324807,437595.1,81797.66
0.01104006,428333.0,80584.97
0.009200051,419233.3,79429.46
0.007666709,410288.4,78344.04
0.006388924,401487.0,77339.94
0.005324104,392815.5,76426.24
0.004436753,384258.6,75610.05
0.003697294,375799.8,74896.86
0.003081078,367421.4,74290.53
0.002567565,359104.0,73792.79
