frecuency,elastic_modulu,viscous_modulu
300.0,1630040.0,108881.3
250.0,1617264.0,111801.8
208.3333,1604064.0,114724.6
173.6111,1590440.0,117617.8
144.6759,1576394.0,120447.9
120.5633,1561935.0,123180.7
100.4694,1547080.0,125782.1
83.72449,1531848.0,128218.9
69.77041,1516268.0,130459.9
58.14201,1500244.0,131557.7
48.45167,1484099.0,133468.0
40.3764,1467711.0,135088.1
33.647,1451124.0,136405.2
28.03916,1434387.0,137411.0
23.36597,1417548.0,138102.4
19.47164,1400657.0,138481.0
16.22637,1383759.0,138553.3
13.52197,1366902.0,138329.8
11.26831,1350128.0,137825.2
9.390259,1333477.0,137057.4
7.825216,1316984.0,136046.8
6.521013,1300681.0,134816.3
5.434178,1284596.0,133389.8
4.528481,1268751.0,131792.2
3.773735,1253166.0,130048.6
3.144779,1237855.0,128183.5
2.620649,1222827.0,126220.5
2.183874,1208091.0,124182.2
1.819895,1193648.0,122089.2
1.516579,1179501.0,119960.5
1.263816,1165648.0,117813.2
1.05318,1152083.0,115662.2
0.87765,1138803.0,113520.6
0.731375,1125801.0,111399.3
0.6094792,1113068.0,109307.8
0.5078993,1100598.0,107253.4
0.4232494,1088380.0,105242.2
0.3527079,1076406.0,103279.0
0.2939232,1064668.0,101367.1
0.244936,1053156.0,99509.2
0.2041134,1041862.0,97706.8
0.1700945,1030777.0,95960.86
0.1417454,1019892.0,94271.65
0.1181212,1009200.0,92638.9
0.09843429,998693.2,91061.87
0.08202858,988363.3,89539.47
0.06835715,978203.7,88070.25
0.05696429,968207.6,86652.59
0.04747024,958368.9,85284.7
0.03955853,948681.6,83964.78
0.03296545,939140.3,82691.08
0.0274712,929739.7,81461.94
0.02289267,920474.9,80275.79
0.01907723,911340.9,79131.13
0.01589769,902332.9,78026.42
0.01324807,893446.3,76960.08
0.01104006,884676.7,75930.45
0.009200051,876019.9,74935.82
0.007666709,867472.0,73974.48
0.006388924,859029.4,73044.77
0.005324104,850688.6,72145.12
0.004436753,842446.6,71274.05
0.003697294,834300.1,70430.18
0.003081078,826246.3,69612.15
0.002567565,818282.5,68818.68
