Angular Frequency,Storage Modulus,Loss Modulus
0.0009762156,7.56363,360.9542
0.001073837,9.137761,396.9232
0.001181221,11.03599,436.448
0.001299343,13.32348,479.8714
0.001429277,16.0778,527.5661
0.001572205,19.39102,579.9371
0.001729426,23.37196,637.4233
0.001902368,28.14874,700.4991
0.002092605,33.8714,769.6761
0.002301865,40.71463,845.5036
0.002532052,48.88046,928.5705
0.002785257,58.60082,1019.505
0.003063783,70.13975,1118.975
0.003370161,83.79524,1227.689
0.003707177,99.90043,1346.398
0.004077895,118.8244,1475.892
0.004485684,140.9723,1617.006
0.004934253,166.7856,1770.62
0.005427678,196.7422,1937.665
0.005970446,231.3572,2119.123
0.00656749,271.185,2316.04
0.00722424,316.8219,2529.524
0.007946663,368.9109,2760.758
0.00874133,428.1465,3011.001
0.009615463,495.2816,3281.596
0.01057701,571.1339,3573.974
0.01163471,656.5933,3889.661
0.01279818,752.6306,4230.28
0.014078,860.3064,4597.556
0.0154858,980.7816,4993.324
0.01703438,1115.329,5419.525
0.01873782,1265.343,5878.214
0.0206116,1432.357,6371.557
0.02267276,1618.049,6901.832
0.02494003,1824.26,7471.43
0.02743404,2053.005,8082.852
0.03017744,2306.487,8738.709
0.03319519,2587.117,9441.719
0.0365147,2897.529,10194.7
0.04016617,3240.607,11000.58
0.04418279,3619.503,11862.34
0.04860107,4037.662,12783.04
0.05346118,4498.836,13765.78
0.0588073,5007.103,14813.67
0.06468803,5566.877,15929.8
0.07115683,6182.914,17117.19
0.07827251,6860.32,18378.82
0.08609976,7604.553,19717.52
0.09470974,8421.436,21136.01
0.1041807,9317.154,22636.79
0.1145988,10298.26,24222.15
0.1260587,11371.68,25894.07
0.1386645,12544.7,27654.19
0.152531,13824.91,29503.73
0.1677841,15220.24,31443.37
0.1845625,16738.83,33473.23
0.2030187,18388.96,35592.76
0.2233206,20179.0,37800.7
0.2456527,22117.2,40094.98
0.2702179,24211.61,42472.76
0.2972397,26469.88,44930.41
0.3269637,28899.14,47463.58
0.3596601,31505.79,50067.25
0.3956261,34295.44,52735.93
0.4351887,37272.79,55463.73
0.4787076,40441.6,58244.58
0.5265783,43804.61,61072.35
0.5792361,47363.62,63940.99
0.6371598,51119.45,66844.73
0.7008757,55072.02,69778.13
0.7709633,59220.34,72736.26
0.8480596,63562.57,75714.85
0.9328656,68096.11,78710.4
1.026152,72817.7,81720.37
1.128767,77723.52,84743.3
1.241644,82809.44,87778.99
1.365809,88071.2,90828.53
1.502389,93504.68,93894.37
1.652628,99106.16,96980.31
1.817891,104872.6,100091.4
1.99968,110801.7,103233.8
2.199648,116892.4,106414.7
2.419613,123144.9,109642.0
2.661574,129560.5,112924.2
2.927732,136142.0,116269.9
3.220505,142893.6,119687.9
3.542556,149820.8,123187.1
3.896811,156930.5,126775.8
4.286492,164230.9,130462.0
4.715141,171731.0,134253.1
5.186656,179441.4,138155.8
5.705321,187373.5,142175.7
6.275853,195539.7,146317.9
6.903439,203953.2,150585.8
7.593782,212628.2,154982.0
8.353161,221579.3,159507.3
9.188477,230821.5,164160.9
10.10732,240370.1,168940.8
11.11806,250240.3,173842.6
12.22986,260447.1,178860.8
13.45285,271005.0,183987.6
14.79813,281927.7,189214.0
16.27795,293228.0,194529.1
17.90574,304917.5,199920.7
19.69632,317006.4,205375.3
21.66595,329503.8,210878.4
23.83254,342417.2,216414.7
26.2158,355752.8,221968.0
28.83738,369515.9,227521.9
31.72111,383710.7,233058.8
34.89323,398340.7,238560.6
38.38255,413408.3,244007.7
42.2208,428915.1,249378.8
46.44288,444860.9,254650.9
51.08717,461243.1,259798.6
56.19589,478056.4,264794.7
61.81548,495291.2,269610.7
67.99702,512933.6,274217.2
74.79673,530964.8,278585.5
82.2764,549360.9,282688.5
90.50404,568094.0,286502.0
99.55444,587132.5,290006.0
109.5099,606442.7,293184.6
120.4609,625990.2,296026.8
132.507,645740.8,298525.8
145.7577,665662.0,300678.1
160.3334,685723.0,302482.7
176.3668,705895.2,303939.8
194.0034,726151.4,305049.8
213.4038,746465.7,305812.9
234.7442,766811.6,306228.8
258.2186,787162.1,306296.9
284.0404,807488.4,306017.2
312.4445,827760.3,305391.1
343.6889,847945.5,304422.4
378.0578,868011.3,303118.3
415.8636,887924.7,301489.8
457.45,907654.0,299552.1
503.195,927170.0,297324.0
553.5145,946446.9,294827.4
608.8659,965462.5,292086.3
669.7525,984199.1,289126.0
736.7278,1002766.0,288643.2
810.4005,1020933.0,285583.7
891.4406,1038796.0,282403.7
980.5847,1056351.0,279127.4
1078.643,1073598.0,275777.3
1186.507,1090537.0,272374.5
1305.158,1107173.0,268938.4
1435.674,1123508.0,265487.2
1579.241,1139548.0,262037.4
1737.166,1155298.0,258604.4
1910.882,1170765.0,255202.7
2101.97,1185958.0,251845.3
2312.167,1200884.0,248544.5
2543.384,1215551.0,245311.4
2797.722,1229971.0,242156.2
3077.495,1244152.0,239088.0
3385.244,1258105.0,236114.9
3723.769,1271841.0,233243.7
4096.145,1285370.0,230480.4
4505.76,1298705.0,227829.7
4956.336,1311855.0,225295.5
5451.97,1324832.0,222880.7
5997.167,1337644.0,220587.3
6596.883,1350303.0,218416.9
7256.572,1362815.0,216370.5
7982.229,1375190.0,214449.0
8780.452,1387435.0,212653.1
9658.497,1399555.0,210984.1
10624.35,1411557.0,209443.5
11686.78,1423445.0,208033.7
12855.46,1435225.0,206757.7
14141.01,1446900.0,205619.7
15555.11,1458475.0,204624.9
17110.62,1469956.0,203779.3
18821.68,1481346.0,203090.1
20703.85,1492652.0,202565.0
22774.23,1503880.0,202212.9
25051.65,1515037.0,202043.1
27556.82,1526129.0,202065.6
30312.5,1537164.0,202291.1
33343.75,1548152.0,202730.8
36678.13,1559100.0,203396.6
40345.94,1570018.0,204300.9
