frecuency,elastic_modulu,viscous_modulu
300.0,1613892.0,114048.2
250.0,1600477.0,117086.8
208.3333,1586621.0,120114.8
173.6111,1572323.0,123098.0
144.6759,1557590.0,126001.1
120.5633,1542434.0,128788.4
100.4694,1526874.0,131425.0
83.72449,1510935.0,133877.4
69.77041,1494531.0,135099.8
58.14201,1477962.0,137254.7
48.45167,1461112.0,139119.0
40.3764,1444027.0,140676.7
33.647,1426755.0,141916.3
28.03916,1409346.0,142831.0
23.36597,1391850.0,143418.8
19.47164,1374317.0,143682.5
16.22637,1356794.0,143629.5
13.52197,1339330.0,143271.4
11.26831,1321968.0,142623.7
9.390259,1304747.0,141704.9
7.825216,1287707.0,140536.7
6.521013,1270878.0,139142.6
5.434178,1254289.0,137547.7
4.528481,1237964.0,135778.0
3.773735,1221923.0,133860.0
3.144779,1206179.0,131819.6
2.620649,1190744.0,129682.0
2.183874,1175624.0,127471.4
1.819895,1160823.0,125210.2
1.516579,1146339.0,122918.8
1.263816,1132171.0,120615.7
1.05318,1118313.0,118317.2
0.87765,1104759.0,116037.3
0.731375,1091499.0,113788.1
0.6094792,1078525.0,111579.3
0.5078993,1065827.0,109418.9
0.4232494,1053393.0,107313.1
0.3527079,1041214.0,105266.6
0.2939232,1029278.0,103282.4
0.244936,1017575.0,101362.7
0.2041134,1006094.0,99508.23
0.1700945,994825.2,97719.09
0.1417454,983759.4,95994.55
0.1181212,972887.5,94333.35
0.09843429,962200.8,92733.78
0.08202858,951691.5,91193.82
0.06835715,941352.0,89711.24
0.05696429,931175.3,88283.68
0.04747024,921154.9,86908.69
0.03955853,911284.7,85583.83
0.03296545,901558.9,84306.6
0.0274712,891972.2,83074.56
0.02289267,882519.5,81885.28
0.01907723,873196.3,80736.39
0.01589769,863998.3,79625.66
0.01324807,854921.7,78551.02
0.01104006,845962.7,77510.59
0.009200051,837117.9,76502.67
0.007666709,828384.0,75525.7
0.006388924,819758.0,74578.28
0.005324104,811236.8,73659.07
0.004436753,802817.7,72766.9
0.003697294,794498.1,71900.78
0.003081078,786275.6,71059.98
0.002567565,778147.9,70244.04
