time,modulu
3e-11,86970750.0
3.6e-11,85299380.0
4.32e-11,83373030.0
5.184e-11,81169600.0
6.2208e-11,78671600.0
7.46496e-11,75868910.0
8.957952e-11,72761960.0
1.074954e-10,69364950.0
1.289945e-10,65708520.0
1.547934e-10,61841170.0
1.857521e-10,57828500.0
2.229025e-10,53749490.0
2.67483e-10,49689810.0
3.209796e-10,45732690.0
3.851755e-10,41949340.0
4.622106e-10,38391430.0
5.546528e-10,35087930.0
6.655833e-10,32045810.0
7.987e-10,29256660.0
9.5844e-10,26710630.0
1.150128e-09,24386580.0
1.380154e-09,22265220.0
1.656184e-09,20328910.0
1.987421e-09,18561600.0
2.384905e-09,16948630.0
2.861886e-09,15476630.0
3.434264e-09,14133410.0
4.121117e-09,12907860.0
4.94534e-09,11789880.0
5.934408e-09,10770240.0
7.121289e-09,9840590.0
8.545547e-09,8993299.0
1.025466e-08,8221470.0
1.230559e-08,7518846.0
1.476671e-08,6879766.0
1.772005e-08,6299132.0
2.126406e-08,5772351.0
2.551687e-08,5295304.0
3.062024e-08,4864309.0
3.674429e-08,4476081.0
4.409315e-08,4127695.0
5.291178e-08,3816540.0
6.349413e-08,3540278.0
7.619296e-08,3296780.0
9.143155e-08,3084064.0
1.097179e-07,2900227.0
1.316614e-07,2743339.0
1.579937e-07,2611381.0
1.895925e-07,2502147.0
2.27511e-07,2413185.0
2.730131e-07,2341784.0
3.276158e-07,2285015.0
3.931389e-07,2239841.0
4.717667e-07,2203308.0
5.661201e-07,2172768.0
6.793441e-07,2146082.0
8.152129e-07,2121752.0
9.782555e-07,2098912.0
1.173907e-06,2077202.0
1.408688e-06,2056562.0
1.690425e-06,2037047.0
2.028511e-06,2018699.0
2.434213e-06,2001504.0
2.921055e-06,1985396.0
3.505266e-06,1970285.0
4.206319e-06,1956073.0
5.047583e-06,1942667.0
6.0571e-06,1929978.0
7.26852e-06,1917926.0
8.722224e-06,1906436.0
1.046667e-05,1895439.0
1.256e-05,1884871.0
1.5072e-05,1874674.0
1.80864e-05,1864794.0
2.170368e-05,1855179.0
2.604442e-05,1845783.0
3.125331e-05,1836563.0
3.750397e-05,1827476.0
