frecuency,elastic_modulu,viscous_modulu
300.0,1664780.0,98250.65
250.0,1653366.0,101031.6
208.3333,1641557.0,103862.4
173.6111,1629344.0,106717.0
144.6759,1616720.0,109567.3
120.5633,1603683.0,112383.0
100.4694,1590238.0,115132.1
83.72449,1576392.0,117781.5
69.77041,1562161.0,120297.8
58.14201,1547456.0,121666.8
48.45167,1532551.0,123976.7
40.3764,1517332.0,126037.1
33.647,1501837.0,127825.7
28.03916,1486111.0,129324.3
23.36597,1470200.0,130519.2
19.47164,1454152.0,131401.5
16.22637,1438017.0,131967.6
13.52197,1421844.0,132219.4
11.26831,1405683.0,132163.6
9.390259,1389579.0,131811.6
7.825216,1373576.0,131179.4
6.521013,1357715.0,130286.3
5.434178,1342032.0,129154.9
4.528481,1326557.0,127809.6
3.773735,1311318.0,126276.8
3.144779,1296337.0,124583.4
2.620649,1281630.0,122756.5
2.183874,1267209.0,120822.4
1.819895,1253084.0,118806.5
1.516579,1239258.0,116732.6
1.263816,1225731.0,114622.4
1.05318,1212500.0,112495.5
0.87765,1199562.0,110369.0
0.731375,1186909.0,108257.6
0.6094792,1174532.0,106173.5
0.5078993,1162422.0,104126.9
0.4232494,1150569.0,102125.6
0.3527079,1138963.0,100175.7
0.2939232,1127593.0,98281.7
0.244936,1116449.0,96446.62
0.2041134,1105520.0,94672.27
0.1700945,1094797.0,92959.44
0.1417454,1084270.0,91308.06
0.1181212,1073930.0,89717.39
0.09843429,1063768.0,88186.18
0.08202858,1053778.0,86712.82
0.06835715,1043950.0,85295.45
0.05696429,1034280.0,83932.04
0.04747024,1024759.0,82620.47
0.03955853,1015381.0,81358.6
0.03296545,1006142.0,80144.28
0.0274712,997035.5,78975.39
0.02289267,988056.3,77849.84
0.01907723,979199.7,76765.6
0.01589769,970461.2,75720.64
0.01324807,961836.4,74713.01
0.01104006,953321.2,73740.81
0.009200051,944912.0,72802.24
0.007666709,936605.0,71895.58
0.006388924,928396.9,71019.23
0.005324104,920284.4,70171.63
0.004436753,912264.4,69351.28
0.003697294,904333.9,68556.69
0.003081078,896490.3,67786.4
0.002567565,888731.1,67039.01
