frecuency,elastic_modulu,viscous_modulu
300.0,952880.1,242156.9
250.0,923291.1,239804.2
208.3333,893973.4,238108.5
173.6111,864968.1,235848.9
144.6759,836354.4,233061.1
120.5633,808204.9,229785.9
100.4694,780584.2,226068.7
83.72449,753548.8,221957.9
69.77041,727147.0,217504.5
58.14201,701418.3,212760.6
48.45167,676393.7,207778.8
40.3764,652095.7,202611.1
33.647,628538.7,197308.1
28.03916,605728.9,191918.1
23.36597,583665.8,186486.0
19.47164,562342.1,181053.2
16.22637,541745.5,175656.4
13.52197,521859.5,170328.0
11.26831,502664.4,165096.2
9.390259,484138.4,159985.6
7.825216,466257.8,155017.4
6.521013,448997.4,150210.2
5.434178,432330.6,145580.4
4.528481,416229.4,141142.1
3.773735,400664.8,136907.4
3.144779,385606.7,132886.6
2.620649,371024.0,129088.1
2.183874,356884.7,125518.7
1.819895,343155.9,122183.6
1.516579,329803.8,119086.1
1.263816,316793.5,116227.6
1.05318,304088.9,113607.1
0.87765,291652.8,111220.8
0.731375,279447.3,109061.0
0.6094792,267434.4,107115.6
0.5078993,255576.8,105367.6
0.4232494,243838.8,103794.8
0.3527079,232186.6,102369.2
0.2939232,220589.8,101055.8
0.244936,209023.8,99812.21
0.2041134,197472.1,98588.91
0.1700945,185929.8,97330.72
0.1417454,174405.5,95979.86
0.1181212,162922.8,94480.06
0.09843429,151519.4,92781.14
0.08202858,140244.5,90842.86
0.06835715,129154.9,88637.3
0.05696429,118310.8,86149.55
0.04747024,107772.8,83377.28
0.03955853,97598.11,80329.57
0.03296545,87838.21,77025.06
0.0274712,78536.7,73488.76
0.02289267,69729.57,69748.31
0.01907723,61447.97,65831.85
0.01589769,53721.07,61769.14
0.01324807,46576.36,57594.94
0.01104006,40036.62,53351.42
0.009200051,34115.53,49087.77
0.007666709,28814.45,44856.81
0.006388924,24121.78,40710.63
0.005324104,20014.58,36696.91
0.004436753,16461.22,32857.06
0.003697294,13423.62,29225.75
0.003081078,10858.65,25830.92
0.002567565,8719.115,22693.38
