Time,Relaxation Modulus
3e-11,87038430.0
3.6e-11,85364890.0
4.32e-11,83436170.0
5.184e-11,81230190.0
6.2208e-11,78729500.0
7.46496e-11,75924050.0
8.957952e-11,72814380.0
1.074954e-10,69414780.0
1.289945e-10,65756030.0
1.547934e-10,61886760.0
1.857521e-10,57872660.0
2.229025e-10,53792800.0
2.67483e-10,49732870.0
3.209796e-10,45776010.0
3.851755e-10,41993340.0
4.622106e-10,38436360.0
5.546528e-10,35133860.0
6.655833e-10,32092750.0
7.987e-10,29304420.0
9.5844e-10,26758970.0
1.150128e-09,24435320.0
1.380154e-09,22314090.0
1.656184e-09,20377730.0
1.987421e-09,18610180.0
2.384905e-09,16996750.0
2.861886e-09,15524080.0
3.434264e-09,14180000.0
4.121117e-09,12953370.0
4.94534e-09,11834050.0
5.934408e-09,10812890.0
7.121289e-09,9881422.0
8.545547e-09,9032050.0
1.025466e-08,8257852.0
1.230559e-08,7552520.0
1.476671e-08,6910383.0
1.772005e-08,6326289.0
2.126406e-08,5795604.0
2.551687e-08,5314179.0
3.062024e-08,4878264.0
3.674429e-08,4484544.0
4.409315e-08,4130023.0
5.291178e-08,3812067.0
6.349413e-08,3528317.0
7.619296e-08,3276613.0
9.143155e-08,3055006.0
1.097179e-07,2861650.0
1.316614e-07,2694718.0
1.579937e-07,2552346.0
1.895925e-07,2432547.0
2.27511e-07,2333126.0
2.730131e-07,2251653.0
3.276158e-07,2185468.0
3.931389e-07,2131747.0
4.717667e-07,2087646.0
5.661201e-07,2050491.0
6.793441e-07,2017985.0
8.152129e-07,1988372.0
9.782555e-07,1960494.0
1.173907e-06,1933737.0
1.408688e-06,1907870.0
1.690425e-06,1882863.0
2.028511e-06,1858739.0
2.434213e-06,1835493.0
2.921055e-06,1813075.0
3.505266e-06,1791403.0
4.206319e-06,1770381.0
5.047583e-06,1749912.0
6.0571e-06,1729905.0
7.26852e-06,1710272.0
8.722224e-06,1690932.0
1.046667e-05,1671809.0
1.256e-05,1652832.0
1.5072e-05,1633935.0
1.80864e-05,1615055.0
2.170368e-05,1596134.0
2.604442e-05,1577119.0
3.125331e-05,1557959.0
3.750397e-05,1538609.0
4.500476e-05,1519025.0
5.400571e-05,1499168.0
6.480685e-05,1478999.0
7.776822e-05,1447632.0
9.332187e-05,1428675.0
0.0001119862,1409063.0
0.0001343835,1388784.0
0.0001612602,1367826.0
0.0001935122,1346178.0
0.0002322147,1323832.0
0.0002786576,1300782.0
0.0003343891,1277025.0
0.000401267,1252566.0
0.0004815203,1227413.0
0.0005778244,1201581.0
0.0006933893,1175093.0
0.0008320672,1147979.0
0.0009984806,1120276.0
0.001198177,1092028.0
0.001437812,1063285.0
0.001725374,1034104.0
0.002070449,1004550.0
0.002484539,974691.4
0.002981447,944600.9
0.003577736,914355.0
0.004293284,884031.8
0.005151941,853710.1
0.006182329,823468.1
0.007418794,793382.7
0.008902553,763528.7
0.01068306,733978.3
0.01281968,704801.0
0.01538361,676063.5
0.01846033,647830.6
0.0221524,620164.6
0.02658288,593125.9
0.03189946,566772.9
0.03827935,541161.6
0.04593522,516345.1
0.05512226,492372.3
0.06614672,469286.2
0.07937606,447119.8
0.09525127,425890.1
0.1143015,405593.2
0.1371618,386200.0
0.1645942,367657.8
0.197513,349896.9
0.2370156,332840.5
0.2844188,316413.5
0.3413025,300548.9
0.409563,285189.7
0.4914756,270289.4
0.5897708,255812.1
0.7077249,241733.1
0.8492699,228038.5
1.019124,214724.4
1.222949,201795.6
1.467538,189263.5
1.761046,177144.4
2.113255,165457.4
2.535906,154222.9
3.043088,143459.9
3.651705,133184.2
4.382046,123405.5
5.258455,114126.0
6.310146,105340.0
7.572176,97034.91
9.086611,89192.77
10.90393,81791.82
13.08472,74808.26
15.70166,68217.86
18.842,61997.95
22.6104,56129.5
27.13247,50598.33
32.55897,45394.85
39.07076,40512.54
46.88492,35946.28
56.2619,31691.55
67.51428,27744.86
81.01714,24104.7
97.22056,20771.89
116.6647,17748.5
139.9976,15035.46
167.9971,12629.46
201.5966,10520.47
241.9159,8691.11
290.299,7118.164
348.3589,5775.555
418.0306,4637.449
501.6367,3680.269
601.9641,2883.232
722.3569,2227.768
866.8283,1696.598
1040.194,1273.073
1248.233,941.0535
1497.879,685.2283
1797.455,491.5503
2156.946,347.5572
2588.335,242.4866
3106.003,167.2453
3727.203,114.3147
4472.644,77.63095
5367.172,52.4489
6440.607,35.19541
7728.728,23.31066
9274.474,15.06677
11129.37,9.358666
13355.24,5.48824
16026.29,2.981572
19231.55,1.470754
23077.86,0.6443854
27693.43,0.2444382
33232.12,0.07784898
39878.54,0.02004925
47854.25,0.003989284
57425.1,0.0005805091
68910.12,5.786325e-05
82692.14,3.654793e-06
99230.57,1.333343e-07
119076.7,2.515322e-09
142892.0,2.14935e-11
171470.4,7.098047e-14
205764.5,7.488413e-17
246917.4,2.0083549999999998e-20
296300.9,1.040984e-24
355561.1,7.505095e-30
426673.3,5.071972e-36
512007.9,2.0009420000000003e-43
614409.5,2.610552e-52
737291.4,5.695354e-63
884749.7,9.166984e-76
1061700.0,4.0776189999999997e-91
1274040.0,1.5428859999999999e-109
1528848.0,1.207644e-131
1834617.0,3.583778e-158
2201540.0,5.263641e-190
2641849.0,3.324076e-228
3170218.0,4.8103e-274
3804262.0,0.0
4565114.0,0.0
5478137.0,0.0
6573764.0,0.0
7888517.0,0.0
9466221.0,0.0
11359460.0,0.0
13631360.0,0.0
