Angular Frequency,Storage Modulus,Loss Modulus
0.0009762156,2371.577,8489.575
0.001073837,2703.099,9159.145
0.001181221,3072.825,9868.008
0.001299343,3483.778,10616.87
0.001429277,3939.053,11406.32
0.001572205,4441.803,12236.78
0.001729426,4995.223,13108.55
0.001902368,5602.527,14021.78
0.002092605,6266.939,14976.47
0.002301865,6991.672,15972.48
0.002532052,7779.92,17009.56
0.002785257,8634.847,18087.3
0.003063783,9559.589,19205.21
0.003370161,10557.25,20362.68
0.003707177,11630.93,21559.0
0.004077895,12783.71,22793.33
0.004485684,14018.68,24064.7
0.004934253,15338.97,25371.99
0.005427678,16747.69,26713.81
0.005970446,18247.95,28088.5
0.00656749,19842.76,29494.06
0.00722424,21534.94,30928.05
0.007946663,23327.0,32387.67
0.00874133,25220.97,33869.68
0.009615463,27218.25,35370.57
0.01057701,29319.5,36886.7
0.01163471,31524.54,38414.44
0.01279818,33832.31,39950.49
0.014078,36240.94,41492.06
0.0154858,38747.91,43037.19
0.01703438,41350.26,44584.87
0.01873782,44044.87,46135.2
0.0206116,46828.8,47689.4
0.02267276,49699.62,49249.68
0.02494003,52655.66,50819.13
0.02743404,55696.21,52401.32
0.03017744,58821.6,54000.08
0.03319519,62033.18,55619.15
0.0365147,65333.15,57261.87
0.04016617,68724.39,58931.04
0.04418279,72210.15,60628.78
0.04860107,75793.85,62356.57
0.05346118,79478.9,64115.33
0.0588073,83268.48,65905.56
0.06468803,87165.59,67727.52
0.07115683,91173.03,69581.37
0.07827251,95293.5,71467.3
0.08609976,99529.76,73385.54
0.09470974,103884.7,75336.35
0.1041807,108361.6,77319.91
0.1145988,112964.0,79336.16
0.1260587,117695.8,81384.63
0.1386645,122561.1,83464.21
0.152531,127564.1,85573.05
0.1677841,132708.9,87708.45
0.1845625,137999.0,89866.88
0.2030187,143437.3,92044.09
0.2233206,149025.7,94235.31
0.2456527,154765.2,96435.48
0.2702179,160655.6,98639.57
0.2972397,166695.7,100842.8
0.3269637,172883.3,103040.9
0.3596601,179215.7,105230.3
0.3956261,185689.3,107407.8
0.4351887,192300.4,109571.4
0.4787076,199044.6,111719.6
0.5265783,205917.4,113851.7
0.5792361,212914.0,115967.9
0.6371598,220029.7,118069.4
0.7008757,227259.5,120158.1
0.7709633,234598.8,122237.3
0.8480596,242043.3,124311.3
0.9328656,249589.4,126385.3
1.026152,257234.3,128465.5
1.128767,264976.3,130558.9
1.241644,272814.7,132672.9
1.365809,280750.3,134815.4
1.502389,288784.9,136994.3
1.652628,296921.4,139217.3
1.817891,305164.2,141492.1
1.99968,313518.3,143825.7
2.199648,321989.9,146224.8
2.419613,330586.0,148695.8
2.661574,339314.7,151244.2
2.927732,348184.6,153874.8
3.220505,357205.4,156591.8
3.542556,366387.4,159398.5
3.896811,375741.9,162296.8
4.286492,385280.6,165287.6
4.715141,395015.8,168370.3
5.186656,404959.8,171542.8
5.705321,415125.4,174801.1
6.275853,425524.8,178139.7
6.903439,436169.9,181551.5
7.593782,447072.0,185027.4
8.353161,458241.5,188556.8
9.188477,469687.5,192127.4
10.10732,481418.0,195725.4
11.11806,493439.2,199335.4
12.22986,505755.4,202940.9
13.45285,518368.7,206524.0
14.79813,531278.8,210066.2
16.27795,544482.6,213548.2
17.90574,557974.1,216950.9
19.69632,571744.1,220255.8
21.66595,585780.5,223445.4
23.83254,600068.5,226504.4
26.2158,614590.9,229419.7
28.83738,629329.3,232181.5
31.72111,644264.5,234783.0
34.89323,659377.5,237220.4
38.38255,674650.4,239492.7
42.2208,690067.0,241600.8
46.44288,705612.9,243546.6
51.08717,721275.6,245332.9
56.19589,737044.1,246962.0
61.81548,752908.7,248435.7
67.99702,768860.5,249754.9
74.79673,784890.5,250920.0
82.2764,800989.9,251930.4
90.50404,817149.5,252785.1
99.55444,833359.4,253483.1
109.5099,849609.7,254023.2
120.4609,865889.7,254404.4
132.507,882188.7,254626.0
145.7577,898495.6,254687.6
160.3334,914799.3,254589.1
176.3668,931088.6,254330.6
194.0034,947352.2,253912.6
213.4038,963578.7,253335.8
234.7442,979756.6,252601.3
258.2186,995874.3,251710.4
284.0404,1011920.0,250665.0
312.4445,1027883.0,249467.6
343.6889,1043751.0,248121.0
378.0578,1059512.0,246628.5
415.8636,1075156.0,244994.3
457.45,1090671.0,243222.8
503.195,1106048.0,241319.2
553.5145,1121389.0,241648.2
608.8659,1136482.0,239731.0
669.7525,1151412.0,237722.3
736.7278,1166173.0,235631.0
810.4005,1180758.0,233466.3
891.4406,1195161.0,231238.0
980.5847,1209378.0,228955.9
1078.643,1223404.0,226630.1
1186.507,1237237.0,224271.1
1305.158,1250876.0,221889.0
1435.674,1264319.0,219494.3
1579.241,1277567.0,217097.1
1737.166,1290621.0,214707.3
1910.882,1303484.0,212334.4
2101.97,1316157.0,209987.8
2312.167,1328646.0,207676.1
2543.384,1340955.0,205407.3
2797.722,1353088.0,203189.0
3077.495,1365052.0,201028.1
3385.244,1376852.0,198930.8
3723.769,1388495.0,196902.8
4096.145,1399987.0,194949.1
4505.76,1411334.0,193074.2
