Time,Relaxation Modulus
3e-11,86990820.0
3.6e-11,85316850.0
4.32e-11,83387850.0
5.184e-11,81181830.0
6.2208e-11,78681430.0
7.46496e-11,75876710.0
8.957952e-11,72768340.0
1.074954e-10,69370740.0
1.289945e-10,65714790.0
1.547934e-10,61849200.0
1.857521e-10,57839700.0
2.229025e-10,53765320.0
2.67483e-10,49711600.0
3.209796e-10,45761500.0
3.851755e-10,41985830.0
4.622106e-10,38435810.0
5.546528e-10,35139950.0
6.655833e-10,32105090.0
7.987e-10,29322410.0
9.5844e-10,26781800.0
1.150128e-09,24462450.0
1.380154e-09,22344810.0
1.656184e-09,20411480.0
1.987421e-09,18646510.0
2.384905e-09,17035150.0
2.861886e-09,15563990.0
3.434264e-09,14221040.0
4.121117e-09,12995040.0
4.94534e-09,11875890.0
5.934408e-09,10854450.0
7.121289e-09,9922251.0
8.545547e-09,9071644.0
1.025466e-08,8295804.0
1.230559e-08,7588283.0
1.476671e-08,6943428.0
1.772005e-08,6356058.0
2.126406e-08,5821454.0
2.551687e-08,5335502.0
3.062024e-08,4894334.0
3.674429e-08,4494585.0
4.409315e-08,4133207.0
5.291178e-08,3807497.0
6.349413e-08,3515078.0
7.619296e-08,3253758.0
9.143155e-08,3021591.0
1.097179e-07,2816754.0
1.316614e-07,2637552.0
1.579937e-07,2482218.0
1.895925e-07,2349053.0
2.27511e-07,2236137.0
2.730131e-07,2141386.0
3.276158e-07,2062509.0
3.931389e-07,1997017.0
4.717667e-07,1942317.0
5.661201e-07,1895847.0
6.793441e-07,1855253.0
8.152129e-07,1818561.0
9.782555e-07,1784287.0
1.173907e-06,1751460.0
1.408688e-06,1719547.0
1.690425e-06,1688318.0
2.028511e-06,1657701.0
2.434213e-06,1627669.0
2.921055e-06,1598186.0
3.505266e-06,1569190.0
4.206319e-06,1540602.0
5.047583e-06,1512333.0
6.0571e-06,1484295.0
7.26852e-06,1456403.0
8.722224e-06,1428576.0
1.046667e-05,1400736.0
1.256e-05,1372816.0
1.5072e-05,1344752.0
1.80864e-05,1316486.0
2.170368e-05,1287968.0
2.604442e-05,1259147.0
3.125331e-05,1229979.0
3.750397e-05,1200423.0
4.500476e-05,1162581.0
5.400571e-05,1134032.0
6.480685e-05,1104649.0
7.776822e-05,1074439.0
9.332187e-05,1043416.0
0.0001119862,1011601.0
0.0001343835,979025.1
0.0001612602,945726.0
0.0001935122,911753.8
0.0002322147,877169.7
0.0002786576,842047.1
0.0003343891,806471.9
0.000401267,770541.1
0.0004815203,734362.2
0.0005778244,698051.4
0.0006933893,661731.3
0.0008320672,625530.4
0.0009984806,589580.7
0.001198177,554017.9
0.001437812,518979.2
0.001725374,484602.5
0.002070449,451023.2
0.002484539,418371.9
0.002981447,386769.7
0.003577736,356325.0
0.004293284,327129.1
0.005151941,299253.9
0.006182329,272751.0
0.007418794,247653.4
0.008902553,223978.5
0.01068306,201731.6
0.01281968,180908.7
0.01538361,161498.1
0.01846033,143480.4
0.0221524,126828.4
0.02658288,111508.8
0.03189946,97484.46
0.03827935,84715.62
0.04593522,73159.96
0.05512226,62770.53
0.06614672,53493.81
0.07937606,45269.08
0.09525127,38029.38
0.1143015,31703.39
0.1371618,26217.43
0.1645942,21496.92
0.197513,17467.42
0.2370156,14055.54
0.2844188,11190.23
0.3413025,8804.343
0.409563,6835.926
0.4914756,5228.889
0.5897708,3932.862
0.7077249,2902.605
0.8492699,2097.345
1.019124,1480.227
