time,modulu
3e-11,87004290.0
3.6e-11,85332050.0
4.32e-11,83404740.0
5.184e-11,81200250.0
6.2208e-11,78701090.0
7.46496e-11,75897160.0
8.957952e-11,72788930.0
1.074954e-10,69390620.0
1.289945e-10,65732910.0
1.547934e-10,61864350.0
1.857521e-10,57850570.0
2.229025e-10,53770590.0
2.67483e-10,49710110.0
3.209796e-10,45752340.0
3.851755e-10,41968480.0
4.622106e-10,38410180.0
5.546528e-10,35106340.0
6.655833e-10,32063940.0
7.987e-10,29274490.0
9.5844e-10,26728160.0
1.150128e-09,24403790.0
1.380154e-09,22282080.0
1.656184e-09,20345410.0
1.987421e-09,18577710.0
2.384905e-09,16964320.0
2.861886e-09,15491870.0
3.434264e-09,14148170.0
4.121117e-09,12922100.0
4.94534e-09,11803550.0
5.934408e-09,10783310.0
7.121289e-09,9852989.0
8.545547e-09,9004974.0
1.025466e-08,8232350.0
1.230559e-08,7528851.0
1.476671e-08,6888808.0
1.772005e-08,6307113.0
2.126406e-08,5779155.0
2.551687e-08,5300806.0
3.062024e-08,4868366.0
3.674429e-08,4478542.0
4.409315e-08,4128389.0
5.291178e-08,3815293.0
6.349413e-08,3536903.0
7.619296e-08,3291091.0
9.143155e-08,3075884.0
1.097179e-07,2889397.0
1.316614e-07,2729731.0
1.579937e-07,2594920.0
1.895925e-07,2482816.0
2.27511e-07,2391041.0
2.730131e-07,2316964.0
3.276158e-07,2257725.0
3.931389e-07,2210340.0
4.717667e-07,2171872.0
5.661201e-07,2139650.0
6.793441e-07,2111477.0
8.152129e-07,2085773.0
9.782555e-07,2061587.0
1.173907e-06,2038492.0
1.408688e-06,2016390.0
1.690425e-06,1995322.0
2.028511e-06,1975334.0
2.434213e-06,1956417.0
2.921055e-06,1938513.0
3.505266e-06,1921532.0
4.206319e-06,1905376.0
5.047583e-06,1889948.0
6.0571e-06,1875159.0
7.26852e-06,1860925.0
8.722224e-06,1847168.0
1.046667e-05,1833817.0
1.256e-05,1820805.0
1.5072e-05,1808070.0
1.80864e-05,1795555.0
2.170368e-05,1783205.0
2.604442e-05,1770970.0
3.125331e-05,1758802.0
3.750397e-05,1746658.0
4.500476e-05,1734494.0
5.400571e-05,1722273.0
6.480685e-05,1709955.0
7.776822e-05,1697505.0
9.332187e-05,1684891.0
0.0001119862,1658500.0
0.0001343835,1647299.0
