1.001547e+30 
8 
40 -1 2.894285e+02 3.860457e+02 3.860457e+02 5.420188e+25 41 42 
41 -1 7.956377e+01 7.956377e+01 7.956377e+01 0.000000e+00 40 42
42 -1 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0 0
43 -1 4.340459e+01 4.340459e+01 4.340459e+01 0.000000e+00 42 44
44 42 1.230661e+02 1.230661e+02 1.230661e+02 7.638383e+19 40 41
1.001547e+30 
78 
390 392 1.253644e+02 1.253644e+02 1.253644e+02 1.981444e+15 393 394 
391 -1 2.761133e+01 2.761133e+01 2.761133e+01 0.000000e+00 390 392
392 -1 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0 0
393 -1 3.059253e+02 4.316082e+02 4.316082e+02 8.552948e+25 392 394
394 -1 1.101412e+02 1.101412e+02 1.101412e+02 0.000000e+00 392 393
