1.065707e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.107858e+05 1.243779e-01 2.678821e-01 8.662531e-01
1.151677e+05 1.322509e-01 2.519348e-01 8.086575e-01
1.197230e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.244583e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.293810e+05 1.472269e-01 2.263080e-01 7.413001e-01
1.344984e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.398182e+05 3.219898e-01 2.069545e-01 7.323891e-01
1.453485e+05 1.684804e-01 1.977596e-01 7.520040e-01
1.510974e+05 0.000000e+00 0.000000e+00 0.000000e+00
1.570738e+05 9.028246e-01 1.845243e-01 7.834294e-01
1.632865e+05 5.622745e-01 1.777705e-01 7.566987e-01
1.697449e+05 1.175249e+00 1.701016e-01 7.633451e-01
1.764588e+05 1.606908e+00 1.658769e-01 7.851978e-01
1.834383e+05 8.452953e-01 1.576661e-01 7.870486e-01
1.906938e+05 1.093681e+00 1.523233e-01 8.012192e-01
1.982363e+05 1.807897e+00 1.474359e-01 7.933975e-01
2.060771e+05 1.176888e+00 1.415538e-01 7.736520e-01
2.142281e+05 2.455004e+00 1.357171e-01 7.720903e-01
2.227014e+05 3.302054e+00 1.311735e-01 7.968629e-01
2.315099e+05 4.216088e+00 1.264437e-01 7.671700e-01
2.406668e+05 2.213402e+00 1.204250e-01 7.921505e-01
2.501859e+05 2.009721e+00 1.160511e-01 7.681956e-01
2.600815e+05 3.868944e+00 1.119535e-01 7.966573e-01
2.703685e+05 3.381955e+00 1.083707e-01 7.862071e-01
2.810623e+05 2.906022e+00 1.031883e-01 7.766210e-01
2.921792e+05 5.356332e+00 9.952665e-02 7.750993e-01
3.037357e+05 2.778985e+00 9.591592e-02 8.060667e-01
3.157493e+05 3.253475e+00 9.216838e-02 7.474658e-01
3.282381e+05 1.512238e+00 8.813058e-02 7.436463e-01
3.412209e+05 1.171750e+00 8.530476e-02 7.815897e-01
3.547172e+05 7.976258e-01 8.354447e-02 7.736482e-01
3.687473e+05 1.695580e+00 7.860110e-02 7.817951e-01
3.833323e+05 1.752380e+00 7.605339e-02 8.063475e-01
3.984942e+05 4.515326e-01 7.379004e-02 8.528042e-01
4.142558e+05 1.893077e+00 7.040097e-02 7.679465e-01
4.306409e+05 9.884275e-01 6.741741e-02 7.877174e-01
4.476740e+05 5.088581e-01 6.547722e-02 8.064893e-01
4.653808e+05 1.055119e+00 6.315610e-02 7.800815e-01
4.837879e+05 1.725246e+00 5.793716e-02 7.790614e-01
