time,modulu
3e-11,86954080.0
3.6e-11,85283140.0
4.32e-11,83357270.0
5.184e-11,81154370.0
6.2208e-11,78656940.0
7.46496e-11,75854860.0
8.957952e-11,72748550.0
1.074954e-10,69352180.0
1.289945e-10,65696390.0
1.547934e-10,61829650.0
1.857521e-10,57817530.0
2.229025e-10,53739000.0
2.67483e-10,49679720.0
3.209796e-10,45722920.0
3.851755e-10,41939820.0
4.622106e-10,38382120.0
5.546528e-10,35078780.0
6.655833e-10,32036800.0
7.987e-10,29247790.0
9.5844e-10,26701920.0
1.150128e-09,24378030.0
1.380154e-09,22256840.0
1.656184e-09,20320720.0
1.987421e-09,18553600.0
2.384905e-09,16940840.0
2.861886e-09,15469060.0
3.434264e-09,14126080.0
4.121117e-09,12900800.0
4.94534e-09,11783090.0
5.934408e-09,10763770.0
7.121289e-09,9834448.0
8.545547e-09,8987524.0
1.025466e-08,8216095.0
1.230559e-08,7513911.0
1.476671e-08,6875318.0
1.772005e-08,6295221.0
2.126406e-08,5769034.0
2.551687e-08,5292646.0
3.062024e-08,4862380.0
3.674429e-08,4474960.0
4.409315e-08,4127466.0
5.291178e-08,3817293.0
6.349413e-08,3542105.0
7.619296e-08,3299774.0
9.143155e-08,3088316.0
1.097179e-07,2905809.0
1.316614e-07,2750315.0
1.579937e-07,2619785.0
1.895925e-07,2511981.0
2.27511e-07,2424415.0
2.730131e-07,2354338.0
3.276158e-07,2298785.0
3.931389e-07,2254697.0
4.717667e-07,2219114.0
5.661201e-07,2189401.0
6.793441e-07,2163454.0
8.152129e-07,2139815.0
9.782555e-07,2117661.0
1.173907e-06,2096661.0
1.408688e-06,2076775.0
1.690425e-06,2058060.0
2.028511e-06,2040558.0
2.434213e-06,2024250.0
2.921055e-06,2009069.0
3.505266e-06,1994924.0
4.206319e-06,1981718.0
5.047583e-06,1969359.0
6.0571e-06,1957759.0
7.26852e-06,1946840.0
8.722224e-06,1936528.0
1.046667e-05,1926757.0
1.256e-05,1917463.0
1.5072e-05,1908591.0
1.80864e-05,1900088.0
2.170368e-05,1891905.0
2.604442e-05,1883996.0
3.125331e-05,1876321.0
3.750397e-05,1868840.0
4.500476e-05,1861518.0
5.400571e-05,1854321.0
