frecuency,elastic_modulu,viscous_modulu
300.0,1124463.0,221636.6
250.0,1097270.0,220875.8
208.3333,1070109.0,221163.3
173.6111,1042965.0,220896.4
144.6759,1015924.0,220086.8
120.5633,989065.4,218754.2
100.4694,962466.9,216925.3
83.72449,936198.7,214633.5
69.77041,910324.7,211917.2
58.14201,884900.6,208818.9
48.45167,859974.3,205383.5
40.3764,835585.3,201657.5
33.647,811764.9,197687.4
28.03916,788536.7,193519.0
23.36597,765916.8,189196.4
19.47164,743914.8,184761.4
16.22637,722534.0,180252.7
13.52197,701772.6,175706.1
11.26831,681624.2,171153.3
9.390259,662078.3,166622.9
7.825216,643121.4,162139.3
6.521013,624737.5,157723.5
5.434178,606908.4,153392.4
4.528481,589615.2,149159.9
3.773735,572838.4,145036.3
3.144779,556558.7,141029.6
2.620649,540757.1,137145.5
2.183874,525415.6,133388.3
1.819895,510517.1,129761.3
1.516579,496045.3,126267.4
1.263816,481984.8,122909.7
1.05318,468320.9,119692.1
0.87765,455038.9,116619.5
0.731375,442123.6,113698.7
0.6094792,429558.6,110937.7
0.5078993,417325.2,108345.8
0.4232494,405402.0,105933.2
0.3527079,393764.3,103709.7
0.2939232,382384.0,101683.7
0.244936,371229.2,99861.46
0.2041134,360264.7,98245.05
0.1700945,349453.2,96831.09
0.1417454,338756.5,95609.05
0.1181212,328138.5,94560.24
0.09843429,317568.5,93657.89
0.08202858,307024.9,92869.14
0.06835715,296498.0,92159.1
0.05696429,285989.9,91496.46
0.04747024,275511.8,90858.65
0.03955853,265077.5,90234.3
0.03296545,254697.4,89621.71
0.0274712,244375.1,89024.07
0.02289267,234106.7,88444.06
0.01907723,223884.5,87880.53
0.01589769,213699.9,87328.21
0.01324807,203544.4,86779.47
0.01104006,193408.3,86225.14
0.009200051,183278.7,85652.49
0.007666709,173139.2,85040.95
0.006388924,162973.5,84357.52
0.005324104,152772.1,83554.12
0.004436753,142540.3,82568.82
0.003697294,132306.5,81331.89
0.003081078,122126.2,79776.24
0.002567565,112081.5,77849.9
