frecuency,elastic_modulu,viscous_modulu
300.0,763015.7,250943.7
250.0,732681.7,246294.0
208.3333,702958.8,242131.4
173.6111,673889.8,237497.2
144.6759,645536.0,232446.8
120.5633,617949.8,227039.1
100.4694,591174.0,221335.3
83.72449,565241.1,215398.6
69.77041,540173.3,209292.1
58.14201,515981.8,203078.1
48.45167,492667.4,196816.1
40.3764,470221.1,190561.6
33.647,448625.8,184364.6
28.03916,427857.0,178269.1
23.36597,407885.0,172312.6
19.47164,388675.7,166526.4
16.22637,370192.2,160935.4
13.52197,352395.4,155558.7
11.26831,335245.6,150409.7
9.390259,318703.0,145496.8
7.825216,302728.4,140824.7
6.521013,287283.0,136394.8
5.434178,272328.5,132205.1
4.528481,257827.4,128250.5
3.773735,243743.1,124523.0
3.144779,230040.0,121012.9
2.620649,216682.0,117708.4
2.183874,203630.2,114595.2
1.819895,190842.0,111651.7
1.516579,178272.9,108844.4
1.263816,165882.1,106123.7
1.05318,153641.0,103423.0
0.87765,141541.3,100663.1
0.731375,129600.8,97761.19
0.6094792,117862.8,94640.34
0.5078993,106393.0,91237.74
0.4232494,95273.17,87510.02
0.3527079,84596.19,83436.78
0.2939232,74459.23,79023.55
0.244936,64956.21,74303.45
0.2041134,56168.49,69336.16
0.1700945,48156.07,64202.94
0.1417454,40951.29,58998.12
0.1181212,34556.7,53818.69
0.09843429,28947.61,48754.36
0.08202858,24078.27,43880.3
0.06835715,19889.67,39253.76
0.05696429,16316.7,34914.3
0.04747024,13293.3,30886.32
0.03955853,10755.43,27182.15
0.03296545,8642.478,23804.82
0.0274712,6897.872,20750.26
0.02289267,5469.263,18008.79
0.01907723,4308.641,15566.33
0.01589769,3372.486,13405.21
0.01324807,2622.05,11504.93
0.01104006,2023.676,9843.059
0.009200051,1548.948,8396.318
0.007666709,1174.491,7141.701
0.006388924,881.3556,6057.46
0.005324104,654.154,5123.685
0.004436753,480.189,4322.453
0.003697294,348.797,3637.67
0.003081078,250.9543,3054.802
0.002567565,179.0804,2560.656
