H 
4.000000e+01 
200 
5 
-1 -1 1 2 1.040474e+01 2.071077e-04
-1 -1 0 2 2.810106e+01 5.593549e-04
0 1 3 4 1.370365e+02 2.727727e-03
2 4 -1 -1 8.941919e+01 1.779900e-03
2 3 -1 -1 3.687190e+01 7.339395e-04
5 
-1 -1 1 2 1.717254e+01 3.418215e-04
-1 -1 0 2 2.978957e+01 5.929650e-04
0 1 3 4 2.488548e+01 4.953485e-04
2 4 -1 -1 3.674287e+01 7.313713e-04
2 3 -1 -1 3.934947e+01 7.832559e-04
5 
-1 -1 1 2 3.919110e+01 7.801036e-04
-1 -1 0 2 2.298033e+01 4.574263e-04
0 1 3 4 6.808082e+01 1.355157e-03
2 4 -1 -1 1.100041e+01 2.189644e-04
2 3 -1 -1 4.234786e+01 8.429392e-04
5 
-1 -1 1 2 5.540398e+01 1.102823e-03
-1 -1 0 2 3.785239e+01 7.534564e-04
0 1 3 4 2.167660e+01 4.314753e-04
2 4 -1 -1 4.682229e+01 9.320033e-04
2 3 -1 -1 2.865340e+01 5.703493e-04
5 
-1 -1 1 2 3.947541e+01 7.857627e-04
-1 -1 0 2 1.031231e+01 2.052677e-04
0 1 3 4 4.439062e+01 8.836007e-04
2 4 -1 -1 2.187661e+02 4.354566e-03
2 3 -1 -1 2.838100e+01 5.649272e-04
5 
-1 -1 1 2 4.434993e+01 8.827906e-04
-1 -1 0 2 3.727703e+01 7.420038e-04
0 1 3 4 6.222827e+01 1.238661e-03
2 4 -1 -1 1.361484e+01 2.710051e-04
2 3 -1 -1 8.614013e+01 1.714630e-03
5 
-1 -1 1 2 2.765938e+01 5.505632e-04
-1 -1 0 2 4.272781e+01 8.505023e-04
0 1 3 4 4.897163e+01 9.747862e-04
2 4 -1 -1 6.839009e+01 1.361313e-03
2 3 -1 -1 7.915739e+01 1.575637e-03
5 
-1 -1 1 2 1.061567e+02 2.113062e-03
-1 -1 0 2 6.061248e+01 1.206499e-03
0 1 3 4 3.996264e+01 7.954611e-04
2 4 -1 -1 4.248813e+01 8.457314e-04
2 3 -1 -1 4.783012e+01 9.520643e-04
5 
-1 -1 1 2 4.895024e+01 9.743603e-04
-1 -1 0 2 2.481168e+01 4.938794e-04
0 1 3 4 9.284463e+01 1.848084e-03
2 4 -1 -1 1.844084e+01 3.670671e-04
2 3 -1 -1 4.533221e+01 9.023430e-04
5 
-1 -1 1 2 6.629645e+01 1.319639e-03
-1 -1 0 2 5.816349e+01 1.157751e-03
0 1 3 4 6.247212e+01 1.243515e-03
2 4 -1 -1 2.620853e+01 5.216839e-04
2 3 -1 -1 1.418193e+01 2.822931e-04
5 
-1 -1 1 2 1.091020e+02 2.171689e-03
-1 -1 0 2 3.226952e+01 6.423287e-04
0 1 3 4 7.361634e+01 1.465342e-03
2 4 -1 -1 1.685189e+01 3.354388e-04
2 3 -1 -1 2.317463e+01 4.612938e-04
5 
-1 -1 1 2 2.659786e+01 5.294337e-04
-1 -1 0 2 4.366984e+01 8.692533e-04
0 1 3 4 7.202822e+01 1.433730e-03
2 4 -1 -1 1.183877e+01 2.356522e-04
2 3 -1 -1 5.873247e+01 1.169077e-03
5 
-1 -1 1 2 1.593748e+02 3.172374e-03
-1 -1 0 2 4.408197e+01 8.774568e-04
0 1 3 4 6.577591e+01 1.309277e-03
2 4 -1 -1 1.228510e+01 2.445365e-04
2 3 -1 -1 3.203172e+01 6.375953e-04
5 
-1 -1 1 2 7.962601e+01 1.584965e-03
-1 -1 0 2 3.761855e+01 7.488017e-04
0 1 3 4 4.375548e+01 8.709581e-04
2 4 -1 -1 1.119944e+01 2.229261e-04
2 3 -1 -1 5.431023e+01 1.081052e-03
5 
-1 -1 1 2 6.670714e+01 1.327814e-03
-1 -1 0 2 2.401079e+01 4.779376e-04
0 1 3 4 3.217634e+01 6.404740e-04
2 4 -1 -1 2.316482e+01 4.610984e-04
2 3 -1 -1 8.037412e+01 1.599856e-03
5 
-1 -1 1 2 4.800626e+01 9.555704e-04
-1 -1 0 2 2.455818e+01 4.888335e-04
0 1 3 4 2.466295e+01 4.909190e-04
2 4 -1 -1 1.929063e+01 3.839822e-04
2 3 -1 -1 1.214827e+02 2.418128e-03
5 
-1 -1 1 2 7.328886e+01 1.458824e-03
-1 -1 0 2 2.694760e+01 5.363952e-04
0 1 3 4 1.475176e+02 2.936356e-03
2 4 -1 -1 5.029449e+01 1.001118e-03
2 3 -1 -1 9.463051e+01 1.883632e-03
5 
-1 -1 1 2 4.503969e+01 8.965204e-04
-1 -1 0 2 6.904126e+01 1.374275e-03
0 1 3 4 5.662987e+01 1.127224e-03
2 4 -1 -1 4.344504e+01 8.647788e-04
2 3 -1 -1 5.753567e+01 1.145254e-03
5 
-1 -1 1 2 3.023357e+01 6.018028e-04
-1 -1 0 2 6.436621e+01 1.281217e-03
0 1 3 4 4.336278e+01 8.631413e-04
2 4 -1 -1 2.395458e+01 4.768187e-04
2 3 -1 -1 1.165046e+01 2.319039e-04
5 
-1 -1 1 2 1.377073e+01 2.741079e-04
-1 -1 0 2 3.726220e+01 7.417085e-04
0 1 3 4 5.182420e+01 1.031567e-03
2 4 -1 -1 2.985907e+01 5.943484e-04
2 3 -1 -1 1.396308e+01 2.779368e-04
5 
-1 -1 1 2 1.316598e+01 2.620705e-04
-1 -1 0 2 3.840619e+01 7.644799e-04
0 1 3 4 6.457052e+01 1.285284e-03
2 4 -1 -1 2.190068e+01 4.359357e-04
2 3 -1 -1 2.303413e+01 4.584972e-04
5 
-1 -1 1 2 1.852183e+01 3.686793e-04
-1 -1 0 2 8.270266e+01 1.646206e-03
0 1 3 4 1.384236e+02 2.755339e-03
2 4 -1 -1 4.030577e+01 8.022912e-04
2 3 -1 -1 8.336245e+01 1.659340e-03
5 
-1 -1 1 2 4.137911e+01 8.236561e-04
-1 -1 0 2 4.554108e+01 9.065007e-04
0 1 3 4 7.002944e+01 1.393944e-03
2 4 -1 -1 2.971182e+01 5.914174e-04
