Angular Frequency,Storage Modulus,Loss Modulus
0.0009762156,0.2368584,127.7294
0.001073837,0.2865984,140.5022
0.001181221,0.3467835,154.5522
0.001299343,0.4196074,170.0072
0.001429277,0.5077239,187.0077
0.001572205,0.6143443,205.708
0.001729426,0.7433544,226.2783
0.001902368,0.8994556,248.9054
0.002092605,1.088336,273.795
0.002301865,1.31688,301.1733
0.002532052,1.593415,331.289
0.002785257,1.928017,364.4157
0.003063783,2.332878,400.8543
0.003370161,2.82275,440.9359
0.003707177,3.41548,485.0243
0.004077895,4.132662,533.5198
0.004485684,5.00042,586.8626
0.004934253,6.050359,645.5367
0.005427678,7.320718,710.0741
0.005970446,8.85775,781.0599
0.00656749,10.71741,859.1371
0.00722424,12.96739,945.0125
0.007946663,15.68954,1039.463
0.00874133,18.98289,1143.341
0.009615463,22.96715,1257.585
0.01057701,27.78713,1383.223
0.01163471,33.61784,1521.386
0.01279818,40.67089,1673.312
0.014078,49.20196,1840.36
0.0154858,59.52002,2024.02
0.01703438,71.99822,2225.921
0.01873782,87.08711,2447.847
0.0206116,105.3304,2691.745
0.02267276,127.3841,2959.742
0.02494003,154.0386,3254.15
0.02743404,186.2461,3577.484
0.03017744,225.1524,3932.468
0.03319519,272.1343,4322.042
0.0365147,328.8443,4749.371
0.04016617,397.2621,5217.839
0.04418279,479.7545,5731.045
0.04860107,579.1439,6292.785
0.05346118,698.7856,6907.021
0.0588073,842.6537,7577.833
0.06468803,1015.433,8309.354
0.07115683,1222.619,9105.67
0.07827251,1470.608,9970.689
0.08609976,1766.793,10907.97
0.09470974,2119.625,11920.51
0.1041807,2538.651,13010.46
0.1145988,3034.495,14178.82
0.1260587,3618.749,15425.05
0.1386645,4303.77,16746.68
0.152531,5102.329,18138.9
0.1677841,6027.103,19594.21
0.1845625,7089.989,21102.1
0.2030187,8301.261,22649.04
0.2233206,9668.611,24218.58
0.2456527,11196.16,25791.89
0.2702179,12883.56,27348.6
0.2972397,14725.37,28868.03
0.3269637,16710.81,30330.66
0.3596601,18824.01,31719.66
0.3956261,21044.85,33022.38
0.4351887,23350.21,34231.43
0.4787076,25715.52,35345.33
0.5265783,28116.42,36368.54
0.5792361,30530.23,37311.03
0.6371598,32937.11,38187.39
0.7008757,35320.78,39015.83
0.7709633,37668.88,39817.05
0.8480596,39972.97,40613.27
0.9328656,42228.23,41427.49
1.026152,44433.19,42282.92
1.128767,46589.28,43202.68
1.241644,48700.53,44209.59
1.365809,50773.32,45326.19
1.502389,52816.28,46574.68
1.652628,54840.19,47976.98
1.817891,56858.1,49554.75
1.99968,58885.43,51329.26
