frecuency,elastic_modulu,viscous_modulu
300.0,1677396.0,93839.57
250.0,1666486.0,96433.65
208.3333,1655208.0,99070.11
173.6111,1643553.0,101724.2
144.6759,1631516.0,104369.3
120.5633,1619099.0,106977.3
100.4694,1606305.0,109519.4
83.72449,1593145.0,111966.1
69.77041,1579633.0,114288.4
58.14201,1565789.0,116458.0
48.45167,1551495.0,117535.0
40.3764,1537100.0,119462.3
33.647,1522454.0,121145.3
28.03916,1507594.0,122569.1
23.36597,1492561.0,123723.2
19.47164,1477400.0,124601.2
16.22637,1462151.0,125201.1
13.52197,1446859.0,125525.1
11.26831,1431565.0,125579.7
9.390259,1416307.0,125374.7
7.825216,1401125.0,124923.3
6.521013,1386050.0,124241.3
5.434178,1371116.0,123346.7
4.528481,1356348.0,122259.0
3.773735,1341771.0,120998.6
3.144779,1327405.0,119586.6
2.620649,1313266.0,118044.4
2.183874,1299369.0,116393.0
1.819895,1285722.0,114652.7
1.516579,1272332.0,112843.0
1.263816,1259204.0,110982.2
1.05318,1246338.0,109087.0
0.87765,1233734.0,107172.9
0.731375,1221389.0,105253.4
0.6094792,1209298.0,103340.7
0.5078993,1197457.0,101445.2
0.4232494,1185859.0,99575.58
0.3527079,1174496.0,97739.36
0.2939232,1163360.0,95942.47
0.244936,1152443.0,94189.6
0.2041134,1141737.0,92484.31
0.1700945,1131234.0,90829.12
0.1417454,1120925.0,89225.68
0.1181212,1110802.0,87674.89
0.09843429,1100857.0,86176.98
0.08202858,1091083.0,84731.68
0.06835715,1081472.0,83338.27
0.05696429,1072017.0,81995.67
0.04747024,1062712.0,80702.54
0.03955853,1053550.0,79457.29
0.03296545,1044526.0,78258.21
0.0274712,1035633.0,77103.44
0.02289267,1026867.0,75991.09
0.01907723,1018223.0,74919.21
0.01589769,1009695.0,73885.88
0.01324807,1001280.0,72889.2
0.01104006,992973.9,71927.32
0.009200051,984772.5,70998.43
0.007666709,976672.1,70100.77
0.006388924,968669.6,69232.62
0.005324104,960761.9,68392.34
0.004436753,952945.9,67578.37
0.003697294,945219.1,66789.23
0.003081078,937579.0,66023.59
0.002567565,930023.3,65280.25
